"g","elm_01","elm_02","elm_03","elm_04","elm_05"
"MichiganStateUniversity",6,5,6,5,5
"MichiganStateUniversity",6,1,4,7,5
"MichiganStateUniversity",3,1,2,2,1
"MichiganStateUniversity",5,3,5,6,4
"MichiganStateUniversity",4,1,4,2,6
"MichiganStateUniversity",5,5,4,5,5
"MichiganStateUniversity",3,2,3,4,3
"MichiganStateUniversity",7,5,6,6,7
"MichiganStateUniversity",6,8,7,6,5
"MichiganStateUniversity",9,3,6,7,6
"MichiganStateUniversity",5,6,4,5,5
"MichiganStateUniversity",7,5,5,4,5
"MichiganStateUniversity",5,4,3,5,5
"MichiganStateUniversity",7,5,6,4,5
"MichiganStateUniversity",9,8,6,6,6
"MichiganStateUniversity",9,6,7,8,7
"MichiganStateUniversity",9,5,6,5,6
"MichiganStateUniversity",7,3,3,4,4
"MichiganStateUniversity",6,5,5,7,6
"MichiganStateUniversity",7,8,9,7,8
"MichiganStateUniversity",7,8,9,9,7
"MichiganStateUniversity",6,4,6,3,5
"MichiganStateUniversity",7,6,5,3,4
"MichiganStateUniversity",4,1,5,2,2
"MichiganStateUniversity",7,5,6,6,6
"MichiganStateUniversity",7,4,3,5,4
"MichiganStateUniversity",6,7,7,9,7
"MichiganStateUniversity",4,4,3,3,4
"MichiganStateUniversity",9,9,6,5,6
"MichiganStateUniversity",9,5,3,5,3
"MichiganStateUniversity",7,3,6,3,7
"MichiganStateUniversity",4,6,4,5,5
"MichiganStateUniversity",6,5,4,4,5
"MichiganStateUniversity",4,3,2,5,5
"MichiganStateUniversity",3,8,5,4,2
"MichiganStateUniversity",6,6,4,5,5
"MichiganStateUniversity",7,7,7,6,7
"MichiganStateUniversity",5,5,4,6,5
"MichiganStateUniversity",7,7,7,6,6
"MichiganStateUniversity",6,3,6,6,3
"MichiganStateUniversity",4,4,3,3,4
"MichiganStateUniversity",4,3,4,5,4
"MichiganStateUniversity",8,7,8,8,8
"MichiganStateUniversity",7,8,8,7,6
"MichiganStateUniversity",7,4,5,5,6
"MichiganStateUniversity",8,5,6,7,6
"MichiganStateUniversity",7,5,5,5,5
"MichiganStateUniversity",8,5,6,5,7
"MichiganStateUniversity",7,6,8,9,9
"MichiganStateUniversity",9,6,7,7,6
"MichiganStateUniversity",7,5,7,7,7
"MontanaStateUniversity",6,4,4,3,3
"MontanaStateUniversity",6,6,6,6,6
"MontanaStateUniversity",7,5,6,5,5
"MontanaStateUniversity",6,3,4,6,4
"MontanaStateUniversity",7,4,7,5,8
"MontanaStateUniversity",7,5,6,6,5
"MontanaStateUniversity",6,9,9,9,9
"MontanaStateUniversity",6,4,6,5,5
"MontanaStateUniversity",6,5,5,4,3
"MontanaStateUniversity",4,4,4,4,4
"MontanaStateUniversity",6,5,7,5,5
"MontanaStateUniversity",6,5,6,6,5
"MontanaStateUniversity",6,8,6,6,3
"MontanaStateUniversity",5,4,6,5,6
"MontanaStateUniversity",7,7,7,7,7
"MontanaStateUniversity",4,5,4,4,4
"MontanaStateUniversity",4,7,5,3,2
"MontanaStateUniversity",8,6,8,6,5
"MontanaStateUniversity",8,1,1,6,4
"MontanaStateUniversity",5,4,5,6,6
"MontanaStateUniversity",7,5,6,6,6
"MontanaStateUniversity",5,3,1,1,1
"MontanaStateUniversity",7,5,5,7,5
"MontanaStateUniversity",7,7,7,7,7
"MontanaStateUniversity",7,5,6,6,7
"MontanaStateUniversity",6,6,6,7,6
"MontanaStateUniversity",6,5,5,5,5
"MontanaStateUniversity",5,3,6,7,7
"MontanaStateUniversity",5,3,1,3,4
"MontanaStateUniversity",5,5,6,5,6
"MontanaStateUniversity",8,3,6,6,7
"MontanaStateUniversity",7,8,5,7,7
"MontanaStateUniversity",5,4,5,4,4
"MontanaStateUniversity",6,5,4,4,2
"MontanaStateUniversity",6,4,6,6,6
"MontanaStateUniversity",5,5,6,4,5
"MontanaStateUniversity",4,2,5,9,7
"MontanaStateUniversity",7,6,6,6,6
"MontanaStateUniversity",4,3,4,5,5
"MontanaStateUniversity",7,5,7,8,7
"MontanaStateUniversity",9,6,8,4,5
"MontanaStateUniversity",8,7,9,6,7
"MontanaStateUniversity",6,6,7,4,5
"MontanaStateUniversity",6,3,1,2,2
"MontanaStateUniversity",7,7,6,6,7
"MontanaStateUniversity",8,9,9,8,8
"MontanaStateUniversity",7,8,8,7,7
"MontanaStateUniversity",4,4,4,3,4
"MontanaStateUniversity",7,6,6,6,6
"MontanaStateUniversity",7,5,6,5,6
"MontanaStateUniversity",6,5,5,5,4
"MontanaStateUniversity",3,5,4,3,2
"MontanaStateUniversity",5,5,6,4,5
"MontanaStateUniversity",5,4,4,3,4
"MontanaStateUniversity",7,6,8,7,6
"MontanaStateUniversity",3,3,6,6,7
