"g","zhon.dv.1_2","zhon.dv.1_3","zhon.dv.1_7","zhon.dv.1_8","zhon.dv.1_10"
"help",1,1,1,1,1
"help",1,1,1,1,1
"help",2,1,2,2,2
"help",2,1,4,3,5
"help",2,1,2,2,4
"help",7,7,2,6,5
"help",6,1,2,2,2
"help",4,4,1,2,4
"help",1,2,1,1,7
"help",1,1,1,3,2
"help",5,1,5,4,3
"help",2,4,5,4,4
"help",4,3,2,1,5
"help",6,4,3,6,5
"help",1,3,1,1,1
"help",3,3,3,2,3
"help",3,1,1,2,3
"help",3,4,1,1,5
"help",6,6,6,1,7
"help",2,2,1,1,4
"help",7,5,4,5,5
"help",3,3,3,3,3
"help",1,1,3,2,3
"help",7,1,1,5,5
"help",4,4,1,2,4
"help",5,3,3,2,5
"rotterdam",5,5,1,3,5
"rotterdam",5,6,3,2,2
"rotterdam",6,5,2,1,4
"rotterdam",2,5,7,2,1
"rotterdam",5,5,1,5,4
"rotterdam",4,6,2,1,5
"rotterdam",6,4,1,1,1
"rotterdam",5,6,6,6,4
"rotterdam",5,2,2,2,4
"rotterdam",3,2,3,1,2
"rotterdam",4,6,6,3,6
"rotterdam",5,6,6,6,6
"rotterdam",4,2,7,2,2
