"g","and1.4_2","and1.4_3","and1.4_6","and1.4_7","and1.4_10","and1.4_11","and1.4_13","and1.4_15","and1.4_16","and1.4_20"
"castab",1,1,1,2,1,1,1,1,2,1
"castab",1,1,1,1,1,2,1,1,2,1
"cas",1,1,1,1,1,1,1,1,2,1
"castab",2,1,1,1,1,1,1,1,2,1
"castab",5,3,2,4,3,2,3,2,1,3
"cas",1,3,2,2,5,4,1,4,5,3
"castab",2,3,2,1,1,2,1,1,2,1
"castab",2,2,3,2,4,3,1,1,4,3
"cas",1,1,1,1,1,1,1,1,3,1
"cas",2,1,3,2,1,2,2,2,4,2
"castab",4,2,5,4,3,2,2,2,2,3
"castab",2,2,2,2,2,2,1,1,2,1
"cas",1,1,1,2,1,1,1,1,1,1
"castab",1,1,1,1,1,1,1,1,2,1
"castab",1,1,1,3,2,1,1,1,1,2
"cas",1,1,1,1,1,1,1,1,2,1
"cas",2,1,4,3,2,3,1,2,2,2
"cas",4,4,4,4,2,4,4,2,1,3
"castab",1,1,1,1,1,1,1,1,1,1
"cas",2,1,1,2,1,1,1,1,2,1
"cas",2,1,1,1,1,1,1,1,2,1
"cas",4,4,4,4,4,4,4,2,4,4
"zhejiang",4,3,3,2,2,3,1,2,2,2
"zhejiang",4,5,4,4,3,4,3,4,3,3
"zhejiang",3,1,2,2,3,2,2,2,2,2
"zhejiang",3,1,2,3,1,2,1,1,1,2
"zhejiang",5,4,5,4,4,5,4,3,4,3
"zhejiang",3,2,1,3,3,1,2,2,2,2
"zhejiang",2,1,2,2,3,2,1,1,1,1
"zhejiang",4,3,2,4,4,2,3,2,3,3
"zhejiang",3,2,2,2,2,2,2,2,2,2
"zhejiang",2,2,2,3,2,3,2,2,2,3
"zhejiang",2,3,2,4,2,3,2,1,1,2
"zhejiang",1,1,2,3,2,2,1,1,1,2
"zhejiang",2,1,2,2,1,2,1,1,1,2
"zhejiang",2,1,3,2,3,2,2,2,2,2
"zhejiang",3,1,1,1,2,2,1,1,1,2
"zhejiang",2,2,2,2,1,1,1,1,2,1
"zhejiang",1,1,1,1,1,1,1,1,1,1
"zhejiang",3,2,2,3,4,2,1,2,3,2
"zhejiang",1,2,2,2,1,1,2,3,1,1
"zhejiang",4,3,2,4,4,2,3,3,2,4
"zhejiang",4,3,4,3,4,2,4,2,3,4
"zhejiang",2,2,2,2,2,2,2,2,2,2
"zhejiang",1,1,1,1,1,1,1,1,1,1
"zhejiang",2,2,1,2,2,1,1,1,2,2
"zhejiang",1,1,1,2,1,2,1,1,1,1
"zhejiang",2,1,2,1,1,2,1,1,2,2
"zhejiang",3,1,1,2,2,1,1,1,1,1
"zhejiang",1,2,2,2,3,2,2,2,1,4
"zhejiang",2,2,2,4,4,3,3,1,1,4
"zhejiang",2,1,1,2,1,1,1,1,1,2
"zhejiang",3,1,2,2,3,2,2,1,2,3
"zhejiang",4,1,2,2,2,3,1,1,1,1
